raw_name,canonical_name,category,description,caution,embedding
Chicken,닭,,닭 또는 계육 유래 원료를 묶는 PetCheck 표준 검색 개념,,
닭고기,닭,,닭 또는 계육 유래 원료를 묶는 PetCheck 표준 검색 개념,,
치킨,닭,,닭 또는 계육 유래 원료를 묶는 PetCheck 표준 검색 개념,,
chicken meal,닭,,닭 또는 계육 유래 원료를 묶는 PetCheck 표준 검색 개념,,
Poultry,가금류,,닭·오리 등 종이 특정되지 않은 가금류 원료 개념,,
가금분,가금류,,닭·오리 등 종이 특정되지 않은 가금류 원료 개념,,
가금부산물건조분,가금류,,닭·오리 등 종이 특정되지 않은 가금류 원료 개념,,
poultry by-product meal,가금류,,닭·오리 등 종이 특정되지 않은 가금류 원료 개념,,
오리고기,오리,,오리 유래 단백질 또는 원료를 묶는 검색 개념,,
오리고기분말,오리,,오리 유래 단백질 또는 원료를 묶는 검색 개념,,
duck meal,오리,,오리 유래 단백질 또는 원료를 묶는 검색 개념,,
Pork,돼지,,돼지 유래 원료를 묶는 PetCheck 표준 검색 개념,,
돼지분말,돼지,,돼지 유래 원료를 묶는 PetCheck 표준 검색 개념,,
pork meat,돼지,,돼지 유래 원료를 묶는 PetCheck 표준 검색 개념,,
소,소,,소 유래 원료를 묶는 PetCheck 표준 검색 개념,,
쇠고기,소,,소 유래 원료를 묶는 PetCheck 표준 검색 개념,,
우육분,소,,소 유래 원료를 묶는 PetCheck 표준 검색 개념,,
beef meal,소,,소 유래 원료를 묶는 PetCheck 표준 검색 개념,,
Lamb,양,,양 유래 원료를 묶는 PetCheck 표준 검색 개념,,
양육분,양,,양 유래 원료를 묶는 PetCheck 표준 검색 개념,,
lamb meat,양,,양 유래 원료를 묶는 PetCheck 표준 검색 개념,,
계란,계란,,계란과 난황·난백 가공품을 묶는 표준 개념,,
난황,계란,,계란과 난황·난백 가공품을 묶는 표준 개념,,
전란분,계란,,계란과 난황·난백 가공품을 묶는 표준 개념,,
whole egg,계란,,계란과 난황·난백 가공품을 묶는 표준 개념,,
어류,어류,,어종이 특정되지 않은 어류 원료 개념,,
생선살,어류,,어종이 특정되지 않은 어류 원료 개념,,
fish meat,어류,,어종이 특정되지 않은 어류 원료 개념,,
Salmon,연어,,연어 유래 원료를 묶는 표준 개념,,
연어분,연어,,연어 유래 원료를 묶는 표준 개념,,
salmon meat,연어,,연어 유래 원료를 묶는 표준 개념,,
어분,어분,,어류 또는 어류 부산물을 건조·분쇄한 원료 명칭,,
생선가루,어분,,어류 또는 어류 부산물을 건조·분쇄한 원료 명칭,,
fish powder,어분,,어류 또는 어류 부산물을 건조·분쇄한 원료 명칭,,
Shrimp,새우,,새우 유래 원료를 묶는 표준 개념,,
건조새우,새우,,새우 유래 원료를 묶는 표준 개념,,
